client_id;client_district_id;birth_year;client_age;client_gender
1;18;1970;51;0
2;1;1945;77;1
3;1;1940;82;0
4;5;1956;66;1
5;5;1960;62;0
6;12;1919;103;1
7;15;1929;93;1
8;51;1938;84;0
9;60;1935;87;1
10;57;1943;79;1
11;57;1950;72;0
12;40;1981;41;1
13;54;1974;48;0
14;76;1942;80;0
15;21;1918;104;0
16;21;1919;103;1
17;76;1934;88;1
18;76;1931;91;0
19;47;1942;79;1
20;46;1979;43;1
21;12;1952;70;0
22;1;1969;53;0
23;1;1973;49;1
24;43;1939;83;0
25;21;1939;83;0
26;74;1969;53;0
27;54;1966;56;0
28;1;1945;77;1
29;30;1951;71;0
30;74;1957;65;0
31;68;1962;60;1
32;52;1980;42;1
33;73;1948;74;0
36;7;1978;44;0
37;7;1970;52;1
38;36;1973;49;0
39;68;1968;54;1
40;5;1957;65;0
41;22;1968;54;1
42;68;1935;87;1
43;75;1920;102;1
44;38;1977;45;0
45;20;1952;70;1
46;19;1940;82;0
47;76;1934;88;1
48;16;1940;82;1
49;72;1959;63;0
50;39;1978;44;0
51;36;1979;43;0
52;32;1924;98;1
53;64;1977;45;1
55;45;1948;74;0
56;21;1960;62;1
57;21;1961;60;0
58;1;1927;95;0
59;1;1957;65;1
60;67;1980;42;1
61;16;1948;74;0
62;77;1932;90;1
63;4;1959;63;1
64;20;1926;96;1
65;50;1943;79;0
66;1;1951;71;0
67;29;1932;90;0
68;43;1946;76;1
70;70;1925;96;1
71;70;1927;95;0
72;47;1923;99;1
73;22;1924;98;1
74;22;1925;97;0
75;64;1977;45;0
76;36;1967;55;0
77;1;1956;66;0
78;16;1944;78;0
79;37;1969;53;0
80;64;1979;43;0
81;8;1976;46;1
82;8;1979;42;0
83;1;1978;43;0
84;1;1979;43;1
85;1;1961;61;1
86;1;1969;53;0
87;72;1946;76;0
89;1;1951;71;0
90;52;1975;47;1
91;63;1940;82;1
92;74;1966;56;0
93;3;1925;97;1
94;43;1947;75;1
95;43;1952;70;0
96;74;1972;50;1
97;26;1965;57;1
98;33;1973;49;0
99;33;1973;49;1
100;44;1942;80;0
101;68;1943;79;1
102;74;1958;64;0
103;74;1955;67;1
105;31;1980;42;1
106;68;1968;53;0
107;1;1972;50;1
108;17;1963;59;1
110;2;1967;55;0
112;1;1935;87;1
113;1;1940;82;0
114;74;1969;53;0
115;74;1969;52;1
116;74;1942;80;1
117;74;1936;86;0
118;55;1922;100;1
119;55;1922;100;0
120;1;1976;46;1
121;41;1978;44;0
122;35;1963;59;0
123;11;1969;53;1
124;44;1967;55;1
125;37;1936;86;1
126;37;1929;93;0
127;21;1950;71;0
128;63;1973;49;0
129;64;1947;75;0
130;53;1942;80;1
131;53;1977;45;0
132;36;1953;69;1
134;6;1932;90;1
135;6;1938;84;0
136;55;1921;101;0
137;60;1923;99;1
138;54;1972;50;0
139;8;1959;63;0
140;8;1961;61;1
141;31;1925;97;1
142;68;1937;85;1
143;27;1978;44;1
144;65;1958;64;1
145;55;1978;44;1
146;31;1961;60;0
147;21;1933;89;0
148;21;1940;81;1
149;55;1948;74;1
150;2;1980;42;0
151;51;1971;51;0
152;29;1945;77;0
153;13;1981;41;0
154;74;1933;89;1
155;74;1939;83;0
156;54;1930;92;0
157;52;1943;79;0
158;40;1945;77;0
159;40;1938;84;1
160;64;1942;80;0
161;34;1943;79;0
162;65;1941;81;1
163;74;1933;89;1
164;70;1962;60;0
165;22;1968;54;1
166;22;1961;61;0
167;38;1978;44;0
168;24;1976;46;0
169;38;1953;69;1
170;38;1946;76;0
171;51;1929;93;1
172;51;1935;87;0
173;21;1918;104;0
174;10;1978;44;1
175;31;1960;62;1
176;4;1929;93;1
178;8;1960;61;1
179;43;1980;41;1
180;73;1982;40;1
181;76;1967;55;1
182;76;1959;63;0
183;1;1978;44;0
184;1;1972;50;1
185;77;1954;68;1
186;46;1961;61;0
187;58;1942;80;1
188;64;1960;62;1
189;11;1919;103;1
190;37;1947;75;0
191;37;1954;68;1
192;70;1971;51;1
193;1;1962;60;1
194;28;1924;97;0
195;74;1919;103;1
196;74;1927;95;0
197;30;1933;89;1
198;60;1976;46;1
199;29;1923;99;1
200;29;1928;94;0
201;17;1930;92;0
202;29;1976;46;0
203;31;1962;60;1
204;31;1967;55;0
205;4;1942;80;0
206;59;1963;59;0
207;46;1932;90;1
208;13;1940;82;0
209;13;1935;87;1
210;66;1939;83;1
211;66;1945;77;0
212;52;1975;47;1
215;71;1967;55;1
216;1;1960;62;1
217;59;1974;47;0
218;1;1980;42;0
219;60;1964;58;0
221;21;1977;45;0
222;47;1972;50;0
223;43;1952;70;0
224;77;1955;67;1
225;32;1936;86;1
226;1;1942;80;1
227;52;1926;96;0
228;48;1956;66;0
229;76;1969;53;1
230;74;1967;55;0
231;41;1941;81;1
232;55;1921;101;0
233;69;1958;64;0
234;69;1955;67;1
235;44;1943;79;0
236;70;1961;61;1
237;70;1969;53;0
238;6;1961;61;0
239;1;1974;48;0
240;34;1929;93;0
241;70;1959;63;1
242;17;1961;61;0
243;63;1954;68;1
246;67;1970;51;0
247;1;1957;65;1
248;61;1969;52;0
249;61;1970;52;1
250;8;1979;43;0
251;54;1976;46;0
252;37;1969;53;0
253;48;1947;75;0
254;28;1963;59;1
255;27;1951;71;0
256;73;1963;59;0
257;22;1942;80;0
258;22;1937;85;1
259;31;1966;56;1
260;31;1962;60;0
261;38;1937;85;0
262;77;1945;77;1
263;68;1962;60;1
264;28;1978;44;1
265;72;1933;89;0
266;19;1967;55;0
267;37;1967;55;1
268;39;1982;40;0
269;15;1923;99;0
270;46;1947;75;1
271;46;1945;77;0
272;70;1944;78;0
273;27;1972;50;0
274;17;1970;52;0
275;1;1918;104;0
276;1;1957;65;1
277;1;1961;61;0
278;22;1972;49;0
279;22;1970;52;1
280;45;1969;52;0
282;73;1938;84;0
283;73;1933;89;1
284;10;1974;48;1
285;72;1954;68;1
286;72;1952;70;0
287;50;1980;42;1
288;6;1962;60;1
289;54;1958;64;1
290;72;1959;63;1
291;72;1955;67;0
292;15;1958;64;0
293;69;1943;79;1
294;58;1968;54;1
295;12;1939;83;1
296;65;1974;48;1
297;65;1924;98;0
298;65;1921;101;1
300;1;1957;65;0
301;28;1942;80;1
302;56;1971;51;1
303;74;1946;76;1
304;19;1934;88;0
305;46;1938;84;1
308;68;1976;46;0
309;37;1969;52;0
310;11;1950;72;1
311;64;1930;92;0
312;2;1924;98;1
313;24;1942;80;0
314;24;1945;77;1
315;54;1967;55;1
316;75;1955;67;1
317;64;1957;65;0
318;15;1943;79;0
319;19;1929;93;0
320;19;1934;88;1
321;47;1943;79;0
322;38;1933;89;1
323;38;1938;84;0
324;3;1960;62;1
325;3;1960;62;1
326;27;1967;55;0
327;27;1968;54;1
328;1;1918;104;0
329;11;1964;58;1
330;65;1944;78;0
331;1;1942;80;1
332;29;1978;44;1
333;38;1971;51;1
334;32;1969;53;1
335;73;1967;55;0
336;39;1964;58;0
337;39;1957;65;1
338;8;1951;71;0
339;1;1966;56;1
340;1;1970;52;0
341;69;1977;45;1
342;69;1972;50;0
343;44;1919;103;1
344;54;1963;59;0
345;17;1953;69;1
346;17;1960;62;0
347;71;1959;62;1
348;71;1953;69;0
349;39;1927;95;0
350;25;1925;97;0
351;1;1973;49;1
352;56;1940;82;1
353;7;1965;57;1
354;49;1922;100;0
355;49;1930;92;1
356;1;1979;42;0
357;1;1979;43;1
358;7;1959;63;0
359;66;1970;52;1
360;49;1943;79;1
361;74;1977;45;0
362;35;1950;72;0
363;35;1942;80;1
364;54;1942;80;0
365;1;1930;92;1
366;1;1936;86;0
367;60;1963;59;0
368;60;1968;54;1
369;7;1930;92;0
370;71;1956;66;0
371;4;1942;80;1
372;34;1932;90;1
373;16;1936;86;1
374;26;1967;55;1
375;61;1969;53;0
376;14;1973;49;0
378;50;1978;44;1
379;50;1983;39;0
380;41;1973;49;1
381;73;1977;45;0
382;73;1978;44;1
383;15;1939;83;0
384;15;1935;87;1
385;45;1948;74;1
386;62;1980;42;1
387;76;1927;95;1
388;36;1950;72;0
389;47;1974;48;0
390;47;1977;45;0
391;47;1933;89;0
392;74;1950;72;0
393;74;1956;66;1
394;52;1924;98;0
395;52;1919;103;1
396;1;1920;102;1
397;75;1930;92;1
398;61;1925;97;0
399;45;1952;70;1
400;1;1933;88;1
401;1;1928;94;0
402;3;1943;78;1
403;42;1973;49;0
404;42;1967;55;1
405;65;1934;88;0
406;36;1977;45;1
407;73;1975;47;0
408;35;1978;44;0
409;74;1925;97;1
410;62;1962;59;1
411;17;1941;81;0
412;17;1944;78;1
