,client_id,client_birth_number,client_district_id,client_age,client_gender
0,1,1970-12-13,18,51,1
1,2,1945-02-04,1,77,0
2,3,1940-10-09,1,82,1
3,4,1956-12-01,5,66,0
4,5,1960-07-03,5,62,1
5,6,1919-09-22,12,103,0
6,7,1929-01-25,15,93,0
7,8,1938-02-21,51,84,1
8,9,1935-10-16,60,87,0
9,10,1943-05-01,57,79,0
10,11,1950-08-22,57,72,1
11,12,1981-02-20,40,41,0
12,13,1974-05-29,54,48,1
13,14,1942-06-22,76,80,1
14,15,1918-08-28,21,104,1
15,16,1919-02-25,21,103,0
16,17,1934-10-13,76,88,0
17,18,1931-04-05,76,91,1
18,19,1942-12-28,47,79,0
19,20,1979-01-04,46,43,0
20,21,1952-10-29,12,70,1
21,22,1969-10-11,1,53,1
22,23,1973-05-29,1,49,0
23,24,1939-07-29,43,83,1
24,25,1939-04-23,21,83,1
25,26,1969-04-20,74,53,1
26,27,1966-03-26,54,56,1
27,28,1945-09-29,1,77,0
28,29,1951-09-11,30,71,1
29,30,1957-10-09,74,65,1
30,31,1962-02-09,68,60,0
31,32,1980-07-28,52,42,0
32,33,1948-12-04,73,74,1
33,36,1978-07-17,7,44,1
34,37,1970-08-10,7,52,0
35,38,1973-07-23,36,49,1
36,39,1968-01-25,68,54,0
37,40,1957-01-22,5,65,1
38,41,1968-08-27,22,54,0
39,42,1935-08-17,68,87,0
40,43,1920-10-28,75,102,0
41,44,1977-01-11,38,45,1
42,45,1952-08-26,20,70,0
43,46,1940-01-30,19,82,1
44,47,1934-07-14,76,88,0
45,48,1940-02-09,16,82,0
46,49,1959-05-11,72,63,1
47,50,1978-07-30,39,44,1
48,51,1979-12-02,36,43,1
49,52,1924-12-12,32,98,0
50,53,1977-05-05,64,45,0
51,55,1948-09-18,45,74,1
52,56,1960-03-31,21,62,0
53,57,1961-12-17,21,60,1
54,58,1927-04-29,1,95,1
55,59,1957-02-18,1,65,0
56,60,1980-02-19,67,42,0
57,61,1948-08-06,16,74,1
58,62,1932-12-08,77,90,0
59,63,1959-06-04,4,63,0
60,64,1926-04-22,20,96,0
61,65,1943-05-27,50,79,1
62,66,1951-11-10,1,71,1
63,67,1932-11-11,29,90,1
64,68,1946-12-14,43,76,0
65,70,1925-12-22,70,97,0
66,71,1927-02-06,70,95,1
67,72,1923-01-13,47,99,0
68,73,1924-02-20,22,98,0
69,74,1925-07-26,22,97,1
70,75,1977-09-19,64,45,1
71,76,1967-10-01,36,55,1
72,77,1956-02-18,1,66,1
73,78,1944-06-13,16,78,1
74,79,1969-03-10,37,53,1
75,80,1979-02-25,64,43,1
76,81,1976-04-29,8,46,0
77,82,1979-12-25,8,42,1
78,83,1978-12-25,1,43,1
79,84,1979-05-05,1,43,0
80,85,1961-08-27,1,61,0
81,86,1969-07-20,1,53,1
82,87,1946-11-17,72,76,1
83,89,1951-05-05,1,71,1
84,90,1975-08-17,52,47,0
85,91,1940-08-07,63,82,0
86,92,1966-06-12,74,56,1
87,93,1925-02-16,3,97,0
88,94,1947-09-09,43,75,0
89,95,1952-08-03,43,70,1
90,96,1972-02-29,74,50,0
91,97,1965-11-28,26,57,0
92,98,1973-05-04,33,49,1
93,99,1973-01-26,33,49,0
94,100,1942-08-11,44,80,1
95,101,1943-01-23,68,79,0
96,102,1958-09-10,74,64,1
97,103,1955-07-11,74,67,0
98,105,1980-05-26,31,42,0
99,106,1968-12-30,68,53,1
100,107,1972-06-23,1,50,0
101,108,1963-09-13,17,59,0
102,110,1967-04-13,2,55,1
103,112,1935-01-25,1,87,0
104,113,1940-08-15,1,82,1
105,114,1969-06-24,74,53,1
106,115,1969-12-24,74,52,0
107,116,1942-01-28,74,80,0
108,117,1936-09-20,74,86,1
109,118,1922-07-19,55,100,0
110,119,1922-02-28,55,100,1
111,120,1976-05-10,1,46,0
112,121,1978-10-29,41,44,1
113,122,1963-11-13,35,59,1
114,123,1969-02-12,11,53,0
115,124,1967-09-21,44,55,0
116,125,1936-10-31,37,86,0
117,126,1929-09-27,37,93,1
118,127,1950-12-27,21,71,1
119,128,1973-04-04,63,49,1
120,129,1947-05-31,64,75,1
121,130,1942-02-14,53,80,0
122,131,1977-01-31,53,45,1
123,132,1953-01-26,36,69,0
124,134,1932-01-18,6,90,0
125,135,1938-09-10,6,84,1
126,136,1921-01-26,55,101,1
127,137,1923-09-14,60,99,0
128,138,1972-10-21,54,50,1
129,139,1959-07-25,8,63,1
130,140,1961-06-06,8,61,0
131,141,1925-11-02,31,97,0
132,142,1937-06-21,68,85,0
133,143,1978-07-09,27,44,0
134,144,1958-12-06,65,64,0
135,145,1978-02-14,55,44,0
136,146,1961-12-19,31,60,1
137,147,1933-11-02,21,89,1
138,148,1940-12-25,21,81,0
139,149,1948-06-27,55,74,0
140,150,1980-09-27,2,42,1
141,151,1971-09-23,51,51,1
142,152,1945-12-02,29,77,1
143,153,1981-02-12,13,41,1
144,154,1933-08-27,74,89,0
145,155,1939-03-13,74,83,1
146,156,1930-07-22,54,92,1
147,157,1943-07-09,52,79,1
148,158,1945-07-03,40,77,1
149,159,1938-09-10,40,84,0
150,160,1942-04-26,64,80,1
151,161,1943-10-07,34,79,1
152,162,1941-10-17,65,81,0
153,163,1933-06-12,74,89,0
154,164,1962-04-04,70,60,1
155,165,1968-11-08,22,54,0
156,166,1961-10-22,22,61,1
157,167,1978-04-18,38,44,1
158,168,1976-11-05,24,46,1
159,169,1953-09-12,38,69,0
160,170,1946-06-16,38,76,1
161,171,1929-06-25,51,93,0
162,172,1935-10-05,51,87,1
163,173,1918-12-08,21,104,1
164,174,1978-11-10,10,44,0
165,175,1960-07-13,31,62,0
166,176,1929-03-11,4,93,0
167,178,1960-12-22,8,61,0
168,179,1980-12-29,43,41,0
169,180,1982-01-19,73,40,0
170,181,1967-07-06,76,55,0
171,182,1959-07-13,76,63,1
172,183,1978-03-19,1,44,1
173,184,1972-06-05,1,50,0
174,185,1954-05-30,77,68,0
175,186,1961-02-22,46,61,1
176,187,1942-08-23,58,80,0
177,188,1960-09-02,64,62,0
178,189,1919-08-10,11,103,0
179,190,1947-10-31,37,75,1
180,191,1954-09-03,37,68,0
181,192,1971-02-28,70,51,0
182,193,1962-05-01,1,60,0
183,194,1924-12-20,28,98,1
184,195,1919-11-18,74,103,0
185,196,1927-06-25,74,95,1
186,197,1933-04-25,30,89,0
187,198,1976-07-14,60,46,0
188,199,1923-06-21,29,99,0
189,200,1928-01-13,29,94,1
190,201,1930-08-19,17,92,1
191,202,1976-11-21,29,46,1
192,203,1962-06-10,31,60,0
193,204,1967-06-17,31,55,1
194,205,1942-06-15,4,80,1
195,206,1963-04-13,59,59,1
196,207,1932-05-20,46,90,0
197,208,1940-06-25,13,82,1
198,209,1935-08-20,13,87,0
199,210,1939-11-30,66,83,0
200,211,1945-06-28,66,77,1
201,212,1975-02-10,52,47,0
202,215,1967-09-24,71,55,0
203,216,1960-01-30,1,62,0
204,217,1974-12-22,59,47,1
205,218,1980-01-23,1,42,1
206,219,1964-04-02,60,58,1
207,221,1977-02-25,21,45,1
208,222,1972-06-29,47,50,1
209,223,1952-02-27,43,70,1
210,224,1955-05-11,77,67,0
211,225,1936-05-10,32,86,0
212,226,1942-06-16,1,80,0
