,client_id,client_birth_number,client_district_id,client_age,client_gender
0,1,1970-12-13,18,51,Female
1,2,1945-02-04,1,77,Male
2,3,1940-10-09,1,82,Female
3,4,1956-12-01,5,66,Male
4,5,1960-07-03,5,62,Female
5,6,1919-09-22,12,103,Male
6,7,1929-01-25,15,93,Male
7,8,1938-02-21,51,84,Female
8,9,1935-10-16,60,87,Male
9,10,1943-05-01,57,79,Male
10,11,1950-08-22,57,72,Female
11,12,1981-02-20,40,41,Male
12,13,1974-05-29,54,48,Female
13,14,1942-06-22,76,80,Female
14,15,1918-08-28,21,104,Female
15,16,1919-02-25,21,103,Male
16,17,1934-10-13,76,88,Male
17,18,1931-04-05,76,91,Female
18,19,1942-12-28,47,79,Male
19,20,1979-01-04,46,43,Male
20,21,1952-10-29,12,70,Female
21,22,1969-10-11,1,53,Female
22,23,1973-05-29,1,49,Male
23,24,1939-07-29,43,83,Female
24,25,1939-04-23,21,83,Female
25,26,1969-04-20,74,53,Female
26,27,1966-03-26,54,56,Female
27,28,1945-09-29,1,77,Male
28,29,1951-09-11,30,71,Female
29,30,1957-10-09,74,65,Female
30,31,1962-02-09,68,60,Male
31,32,1980-07-28,52,42,Male
32,33,1948-12-04,73,74,Female
33,36,1978-07-17,7,44,Female
34,37,1970-08-10,7,52,Male
35,38,1973-07-23,36,49,Female
36,39,1968-01-25,68,54,Male
37,40,1957-01-22,5,65,Female
38,41,1968-08-27,22,54,Male
39,42,1935-08-17,68,87,Male
40,43,1920-10-28,75,102,Male
41,44,1977-01-11,38,45,Female
42,45,1952-08-26,20,70,Male
43,46,1940-01-30,19,82,Female
44,47,1934-07-14,76,88,Male
45,48,1940-02-09,16,82,Male
46,49,1959-05-11,72,63,Female
47,50,1978-07-30,39,44,Female
48,51,1979-12-02,36,43,Female
49,52,1924-12-12,32,98,Male
50,53,1977-05-05,64,45,Male
51,55,1948-09-18,45,74,Female
52,56,1960-03-31,21,62,Male
53,57,1961-12-17,21,60,Female
54,58,1927-04-29,1,95,Female
55,59,1957-02-18,1,65,Male
56,60,1980-02-19,67,42,Male
57,61,1948-08-06,16,74,Female
58,62,1932-12-08,77,90,Male
59,63,1959-06-04,4,63,Male
60,64,1926-04-22,20,96,Male
61,65,1943-05-27,50,79,Female
62,66,1951-11-10,1,71,Female
63,67,1932-11-11,29,90,Female
64,68,1946-12-14,43,76,Male
65,70,1925-12-22,70,96,Male
66,71,1927-02-06,70,95,Female
67,72,1923-01-13,47,99,Male
68,73,1924-02-20,22,98,Male
69,74,1925-07-26,22,97,Female
70,75,1977-09-19,64,45,Female
71,76,1967-10-01,36,55,Female
72,77,1956-02-18,1,66,Female
73,78,1944-06-13,16,78,Female
74,79,1969-03-10,37,53,Female
75,80,1979-02-25,64,43,Female
76,81,1976-04-29,8,46,Male
77,82,1979-12-25,8,42,Female
78,83,1978-12-25,1,43,Female
79,84,1979-05-05,1,43,Male
80,85,1961-08-27,1,61,Male
81,86,1969-07-20,1,53,Female
82,87,1946-11-17,72,76,Female
83,89,1951-05-05,1,71,Female
84,90,1975-08-17,52,47,Male
85,91,1940-08-07,63,82,Male
86,92,1966-06-12,74,56,Female
87,93,1925-02-16,3,97,Male
88,94,1947-09-09,43,75,Male
89,95,1952-08-03,43,70,Female
90,96,1972-02-29,74,50,Male
91,97,1965-11-28,26,57,Male
92,98,1973-05-04,33,49,Female
93,99,1973-01-26,33,49,Male
94,100,1942-08-11,44,80,Female
95,101,1943-01-23,68,79,Male
96,102,1958-09-10,74,64,Female
97,103,1955-07-11,74,67,Male
98,105,1980-05-26,31,42,Male
99,106,1968-12-30,68,53,Female
100,107,1972-06-23,1,50,Male
101,108,1963-09-13,17,59,Male
102,110,1967-04-13,2,55,Female
103,112,1935-01-25,1,87,Male
104,113,1940-08-15,1,82,Female
105,114,1969-06-24,74,53,Female
106,115,1969-12-24,74,52,Male
107,116,1942-01-28,74,80,Male
108,117,1936-09-20,74,86,Female
109,118,1922-07-19,55,100,Male
110,119,1922-02-28,55,100,Female
111,120,1976-05-10,1,46,Male
112,121,1978-10-29,41,44,Female
113,122,1963-11-13,35,59,Female
114,123,1969-02-12,11,53,Male
115,124,1967-09-21,44,55,Male
116,125,1936-10-31,37,86,Male
117,126,1929-09-27,37,93,Female
118,127,1950-12-27,21,71,Female
119,128,1973-04-04,63,49,Female
120,129,1947-05-31,64,75,Female
121,130,1942-02-14,53,80,Male
122,131,1977-01-31,53,45,Female
123,132,1953-01-26,36,69,Male
124,134,1932-01-18,6,90,Male
125,135,1938-09-10,6,84,Female
126,136,1921-01-26,55,101,Female
127,137,1923-09-14,60,99,Male
128,138,1972-10-21,54,50,Female
129,139,1959-07-25,8,63,Female
130,140,1961-06-06,8,61,Male
131,141,1925-11-02,31,97,Male
132,142,1937-06-21,68,85,Male
133,143,1978-07-09,27,44,Male
134,144,1958-12-06,65,64,Male
135,145,1978-02-14,55,44,Male
136,146,1961-12-19,31,60,Female
137,147,1933-11-02,21,89,Female
138,148,1940-12-25,21,81,Male
139,149,1948-06-27,55,74,Male
140,150,1980-09-27,2,42,Female
141,151,1971-09-23,51,51,Female
142,152,1945-12-02,29,77,Female
143,153,1981-02-12,13,41,Female
144,154,1933-08-27,74,89,Male
145,155,1939-03-13,74,83,Female
146,156,1930-07-22,54,92,Female
147,157,1943-07-09,52,79,Female
148,158,1945-07-03,40,77,Female
149,159,1938-09-10,40,84,Male
150,160,1942-04-26,64,80,Female
151,161,1943-10-07,34,79,Female
152,162,1941-10-17,65,81,Male
153,163,1933-06-12,74,89,Male
154,164,1962-04-04,70,60,Female
155,165,1968-11-08,22,54,Male
156,166,1961-10-22,22,61,Female
157,167,1978-04-18,38,44,Female
158,168,1976-11-05,24,46,Female
159,169,1953-09-12,38,69,Male
160,170,1946-06-16,38,76,Female
161,171,1929-06-25,51,93,Male
162,172,1935-10-05,51,87,Female
163,173,1918-12-08,21,104,Female
164,174,1978-11-10,10,44,Male
165,175,1960-07-13,31,62,Male
166,176,1929-03-11,4,93,Male
167,178,1960-12-22,8,61,Male
168,179,1980-12-29,43,41,Male
169,180,1982-01-19,73,40,Male
170,181,1967-07-06,76,55,Male
171,182,1959-07-13,76,63,Female
172,183,1978-03-19,1,44,Female
173,184,1972-06-05,1,50,Male
174,185,1954-05-30,77,68,Male
175,186,1961-02-22,46,61,Female
176,187,1942-08-23,58,80,Male
177,188,1960-09-02,64,62,Male
178,189,1919-08-10,11,103,Male
179,190,1947-10-31,37,75,Female
180,191,1954-09-03,37,68,Male
181,192,1971-02-28,70,51,Male
182,193,1962-05-01,1,60,Male
183,194,1924-12-20,28,98,Female
184,195,1919-11-18,74,103,Male
185,196,1927-06-25,74,95,Female
186,197,1933-04-25,30,89,Male
187,198,1976-07-14,60,46,Male
188,199,1923-06-21,29,99,Male
189,200,1928-01-13,29,94,Female
190,201,1930-08-19,17,92,Female
191,202,1976-11-21,29,46,Female
192,203,1962-06-10,31,60,Male
193,204,1967-06-17,31,55,Female
194,205,1942-06-15,4,80,Female
195,206,1963-04-13,59,59,Female
196,207,1932-05-20,46,90,Male
197,208,1940-06-25,13,82,Female
198,209,1935-08-20,13,87,Male
199,210,1939-11-30,66,83,Male
200,211,1945-06-28,66,77,Female
201,212,1975-02-10,52,47,Male
202,215,1967-09-24,71,55,Male
203,216,1960-01-30,1,62,Male
204,217,1974-12-22,59,47,Female
205,218,1980-01-23,1,42,Female
206,219,1964-04-02,60,58,Female
207,221,1977-02-25,21,45,Female
208,222,1972-06-29,47,50,Female
209,223,1952-02-27,43,70,Female
210,224,1955-05-11,77,67,Male
211,225,1936-05-10,32,86,Male
212,226,1942-06-16,1,80,Male
213,227,1926-12-18,52,96,Female
214,228,1956-03-16,48,66,Female
215,229,1969-07-22,76,53,Male
216,230,1967-03-10,74,55,Female
217,231,1941-02-18,41,81,Male
218,232,1921-06-17,55,101,Female
219,233,1958-12-03,69,64,Female
220,234,1955-06-21,69,67,Male
221,235,1943-08-28,44,79,Female
222,236,1961-09-01,70,61,Male
223,237,1969-02-22,70,53,Female
224,238,1961-11-28,6,61,Female
225,239,1974-09-10,1,48,Female
226,240,1929-06-17,34,93,Female
227,241,1959-01-23,70,63,Male
228,242,1961-08-01,17,61,Female
229,243,1954-02-10,63,68,Male
230,246,1970-12-28,67,51,Female
231,247,1957-05-08,1,65,Male
232,248,1969-12-12,61,52,Female
233,249,1970-05-05,61,52,Male
234,250,1979-11-25,8,43,Female
235,251,1976-03-03,54,46,Female
236,252,1969-09-01,37,53,Female
237,253,1947-05-12,48,75,Female
238,254,1963-05-30,28,59,Male
239,255,1951-10-11,27,71,Female
240,256,1963-02-27,73,59,Female
241,257,1942-11-04,22,80,Female
242,258,1937-05-31,22,85,Male
243,259,1966-06-08,31,56,Male
244,260,1962-02-24,31,60,Female
245,261,1937-12-07,38,85,Female
246,262,1945-11-25,77,77,Male
247,263,1962-05-20,68,60,Male
248,264,1978-08-22,28,44,Male
249,265,1933-01-07,72,89,Female
250,266,1967-08-28,19,55,Female
251,267,1967-06-12,37,55,Male
252,268,1982-05-02,39,40,Female
253,269,1923-12-03,15,99,Female
254,270,1947-03-08,46,75,Male
255,271,1945-07-27,46,77,Female
256,272,1944-10-25,70,78,Female
257,273,1972-05-15,27,50,Female
258,274,1970-11-25,17,52,Female
259,275,1918-11-12,1,104,Female
260,276,1957-06-11,1,65,Male
261,277,1961-11-28,1,61,Female
262,278,1972-12-27,22,49,Female
263,279,1970-05-16,22,52,Male
264,280,1969-12-18,45,52,Female
265,282,1938-02-24,73,84,Female
266,283,1933-11-04,73,89,Male
267,284,1974-08-06,10,48,Male
268,285,1954-06-03,72,68,Male
269,286,1952-04-18,72,70,Female
270,287,1980-09-09,50,42,Male
271,288,1962-04-21,6,60,Male
272,289,1958-03-27,54,64,Male
273,290,1959-01-12,72,63,Male
274,291,1955-04-27,72,67,Female
275,292,1958-09-06,15,64,Female
276,293,1943-09-27,69,79,Male
277,294,1968-03-21,58,54,Male
278,295,1939-03-27,12,83,Male
279,296,1974-03-01,65,48,Male
280,297,1924-03-15,65,98,Female
281,298,1921-06-13,65,101,Male
282,300,1957-07-30,1,65,Female
283,301,1942-01-10,28,80,Male
284,302,1971-02-23,56,51,Male
285,303,1946-05-06,74,76,Male
286,304,1934-03-11,19,88,Female
287,305,1938-06-08,46,84,Male
288,308,1976-06-12,68,46,Female
289,309,1969-12-14,37,52,Female
290,310,1950-04-16,11,72,Male
291,311,1930-09-16,64,92,Female
292,312,1924-07-03,2,98,Male
293,313,1942-05-11,24,80,Female
294,314,1945-03-22,24,77,Male
295,315,1967-05-01,54,55,Male
296,316,1955-04-28,75,67,Male
297,317,1957-10-06,64,65,Female
298,318,1943-04-02,15,79,Female
299,319,1929-04-04,19,93,Female
300,320,1934-11-12,19,88,Male
301,321,1943-10-24,47,79,Female
302,322,1933-02-01,38,89,Male
303,323,1938-04-04,38,84,Female
304,324,1960-12-03,3,62,Male
305,325,1960-02-21,3,62,Male
306,326,1967-09-18,27,55,Female
307,327,1968-10-13,27,54,Male
308,328,1918-01-24,1,104,Female
309,329,1964-12-03,11,58,Male
310,330,1944-08-05,65,78,Female
311,331,1942-03-02,1,80,Male
312,332,1978-07-25,29,44,Male
313,333,1971-10-19,38,51,Male
314,334,1969-10-31,32,53,Male
315,335,1967-07-22,73,55,Female
316,336,1964-02-11,39,58,Female
317,337,1957-05-08,39,65,Male
318,338,1951-06-19,8,71,Female
319,339,1966-07-30,1,56,Male
320,340,1970-08-19,1,52,Female
321,341,1977-03-16,69,45,Male
322,342,1972-06-30,69,50,Female
323,343,1919-11-19,44,103,Male
324,344,1963-07-16,54,59,Female
325,345,1953-12-07,17,69,Male
326,346,1960-11-02,17,62,Female
327,347,1959-12-13,71,63,Male
328,348,1953-01-24,71,69,Female
329,349,1927-05-27,39,95,Female
330,350,1925-04-02,25,97,Female
331,351,1973-05-01,1,49,Male
332,352,1940-08-27,56,82,Male
333,353,1965-10-26,7,57,Male
334,354,1922-04-27,49,100,Female
335,355,1930-05-31,49,92,Male
336,356,1979-12-07,1,43,Female
337,357,1979-03-30,1,43,Male
338,358,1959-06-26,7,63,Female
339,359,1970-02-16,66,52,Male
340,360,1943-04-27,49,79,Male
341,361,1977-05-25,74,45,Female
342,362,1950-04-27,35,72,Female
343,363,1942-07-01,35,80,Male
344,364,1942-12-05,54,80,Female
345,365,1930-01-09,1,92,Male
346,366,1936-11-10,1,86,Female
347,367,1963-09-03,60,59,Female
348,368,1968-10-14,60,54,Male
349,369,1930-11-06,7,92,Female
350,370,1956-01-05,71,66,Female
351,371,1942-07-16,4,80,Male
352,372,1932-04-03,34,90,Male
353,373,1936-02-28,16,86,Male
354,374,1967-06-14,26,55,Male
355,375,1969-09-29,61,53,Female
356,376,1973-01-08,14,49,Female
357,378,1978-05-15,50,44,Male
358,379,1983-10-13,50,39,Female
359,380,1973-01-19,41,49,Male
360,381,1977-01-26,73,45,Female
361,382,1978-06-30,73,44,Male
362,383,1939-05-17,15,83,Female
363,384,1935-10-08,15,87,Male
364,385,1948-03-24,45,74,Male
365,386,1980-08-21,62,42,Male
366,387,1927-06-06,76,95,Male
367,388,1950-10-30,36,72,Female
368,389,1974-06-30,47,48,Female
369,390,1977-01-27,47,45,Female
370,391,1933-05-22,47,89,Female
371,392,1950-04-01,74,72,Female
372,393,1956-08-31,74,66,Male
373,394,1924-05-18,52,98,Female
374,395,1919-07-05,52,103,Male
375,396,1920-05-02,1,102,Male
376,397,1930-03-27,75,92,Male
377,398,1925-03-26,61,97,Female
378,399,1952-04-14,45,70,Male
379,400,1933-12-27,1,88,Male
380,401,1928-11-19,1,94,Female
381,402,1943-12-25,3,78,Male
382,403,1973-05-26,42,49,Female
383,404,1967-04-20,42,55,Male
384,405,1934-10-19,65,88,Female
385,406,1977-05-15,36,45,Male
386,407,1975-05-27,73,47,Female
387,408,1978-02-22,35,44,Female
388,409,1925-06-18,74,97,Male
389,410,1962-12-20,62,59,Male
390,411,1941-04-14,17,81,Female
391,412,1944-04-17,17,78,Male
392,413,1972-11-18,49,50,Female
393,414,1947-10-19,46,75,Female
394,415,1945-04-01,46,77,Male
395,416,1932-10-07,1,90,Female
396,417,1930-06-10,1,92,Male
397,418,1966-10-13,28,56,Male
398,419,1970-10-07,64,52,Female
399,420,1978-03-13,18,44,Male
400,421,1965-07-31,54,57,Male
401,422,1946-12-07,69,76,Male
402,423,1957-06-23,37,65,Male
403,424,1947-10-08,1,75,Male
404,425,1948-02-12,25,74,Male
405,426,1937-06-01,72,85,Male
406,427,1941-09-14,72,81,Female
407,428,1919-11-16,47,103,Female
408,429,1981-01-20,50,41,Female
409,430,1920-07-28,39,102,Male
410,431,1927-10-01,24,95,Female
411,432,1952-03-26,59,70,Female
412,433,1955-02-07,62,67,Male
413,434,1943-01-30,70,79,Female
414,435,1967-10-23,20,55,Male
415,436,1955-06-15,2,67,Male
416,437,1920-01-17,11,102,Female
417,438,1938-09-28,32,84,Male
418,439,1968-09-12,51,54,Female
419,440,1970-07-07,15,52,Female
420,441,1959-09-14,1,63,Male
421,442,1971-12-16,1,50,Female
422,443,1971-12-20,1,50,Male
423,444,1960-08-01,74,62,Female
424,445,1947-04-27,1,75,Female
425,446,1952-03-19,1,70,Male
426,447,1946-09-04,23,76,Male
427,448,1970-08-15,77,52,Female
428,450,1953-11-27,25,69,Male
429,451,1979-04-14,12,43,Male
430,452,1953-10-22,55,69,Female
431,453,1969-07-16,67,53,Male
432,454,1949-06-15,38,73,Female
433,455,1920-07-26,68,102,Male
434,456,1940-02-28,25,82,Male
